Keyword	Intent	Volume	KD	CPC(USD)
golf buggy	Commercial	6600	11	0.39
golf cart	Commercial	5400	39	0.75
buggies golf	Commercial	2900	12	0.39
golf carts for sale	Transactional	2400	17	0.76
golf buggy for sale	Transactional	1900	10	0.7
golf cart for sale	Transactional	1300	8	0.69
golf trolley	Commercial	880	11	0.32
golf and carts	Commercial	590	35	0.75
golf push buggy	Commercial	480	11	0.34
golf buggies for sale	Transactional	480	13	0.7
golf buggy electric	Commercial	390	41	0.44
electric golf buggy for sale	Transactional	390	27	0.54
golf buggy sales	Transactional	390	6	0.7
gold carts	Informational, Commercial	390	12	0.68
motorized golf buggy	Commercial	320	39	0.45
golf buggy sale	Transactional	320	10	0.7
golf buggy remote	Commercial	320	5	0.5
electric golf carts for sale	Transactional	260	6	0.77
electric golf buggies for sale	Transactional	210	32	0.54
three wheel golf buggy	Informational, Transactional	210	11	0.33
electric golf cart for sale	Transactional	210	5	0.85
buy golf cart	Transactional	210	17	0.67
golf carts gold coast	Commercial	210	6	0.8
motorised golf buggy for sale	Transactional	170	17	0.62
golf cart price	Transactional	170	8	0.55
golf carts for sale near me	Transactional	170	13	0.56
second hand golf carts for sale	Transactional	170	8	0.31
electric carts for sale	Transactional	170	6	0.85
battery golf buggy	Commercial	140	42	0.36
club car golf carts for sale	Transactional	140	9	0.54
golf buggy australia	Commercial	110	6	0.65
foldable golf buggy	Commercial	110	9	0.45
junior golf buggy	Commercial	110	11	0.21
golf buggy accessories australia	Commercial	110	11	0.46
golf carts for sale australia	Transactional	110	21	0.68
low price golf carts	Transactional	110	5	0.48
electric golf buggy australia	Commercial	90	21	0.53
push golf buggy for sale	Transactional	90	8	0.3
buy golf buggy	Transactional	90	9	0.68
new golf buggies	Commercial	90	4	0.65
remote control golf buggies	Commercial	90	17	0.4
mgi golf buggy accessories	Navigational, Transactional	90	9	0.13
sales golf carts	Transactional	90	8	0.69
golf cart sales	Transactional	90	6	0.72
new golf carts for sale	Transactional	90	25	0.67
golf cart for sale near me	Transactional	90	12	0.78
triumph golf buggy accessories	Commercial	70	8	0.16
golf cart sale	Transactional	70	11	0.63
remote control golf buggy for sale	Transactional	50	2	0.43
remote control golf buggy australia	Commercial	40	5	0.61
big max golf buggy spare parts australia	Informational	30	7	0
golf buggy spares	Commercial	30	1	0
smoothy golf buggy spare parts	Commercial	30	4	0
universal golf buggy accessories	Commercial	30	7	0.19
best push golf buggy australia review	Commercial	20	19	0
buggy parts near me	Transactional	20	6	0
electric buggy parts	Commercial	20	0	0
electric golf buggy accessories australia	Commercial	20	6	0
electric golf buggy parts	Commercial	20	6	0
electric golf buggy spare parts	Commercial	20	0	0
electric golf trolley accessories	Commercial	20	4	0
folding golf buggy australia	Commercial	20	7	0.3
golf buggy repairs perth	Commercial	20	10	0
golf buggy spare parts	Commercial	20	0	0.35
golf car accessories	Commercial	20	6	0.44
golf club attachment for stroller	Commercial	20	14	0
golf club car accessories	Commercial	20	4	0
1 seater golf cart for sale	Transactional	20	3	0
2 person golf cart	Commercial	20	0	0.72
2 seater golf cart price	Transactional	20	0	0
5 passenger golf cart	Commercial	20	0	0
5 seater golf cart	Commercial	20	0	0
